Match,NAB1,NAB2,NAB3,NAB4,MeanScore,NAB1-Rank,NAB2-Rank,NAB3-Rank,NAB4-Rank,MeanRank
0,0.38,0.31,0.28,0.33,0.33,2,3,4,1,2.5
1,0.46,0.40,0.50,0.32,0.42,1,3,6.5,2,3.125
0,0.33,0.43,0.50,0.36,0.40,6,1,6.5,1,3.625
1,0.46,0.40,0.50,0.32,0.42,2,3,6,4,3.75
0,0.33,0.43,0.50,0.36,0.40,8,1,5,1,3.75
0,0.28,0.44,0.62,0.29,0.41,5,2,2,7,4
0,0.37,0.34,0.29,0.23,0.31,2,1,4,10,4.25
0,0.38,0.31,0.28,0.33,0.33,6,1,9,2,4.5
1,0.22,0.58,0.14,0.25,0.30,1,1,15,1,4.5
0,0.38,0.38,0.36,0.43,0.39,6,2,10,1,4.75
0,0.34,0.35,0.38,0.23,0.33,10,2,4,4,5
0,0.43,0.29,0.27,0.23,0.30,2,9,5,5,5.25
1,0.36,0.32,0.29,0.24,0.30,3,5.5,5,8,5.375
0,0.12,0.30,0.23,0.17,0.20,2,4,13,3,5.5
1,0.22,0.58,0.14,0.25,0.30,1,1,19,1,5.5
0,0.29,0.43,0.67,0.23,0.40,3,2,3,14,5.5
0,0.33,0.28,0.27,0.36,0.31,6,8,7,2,5.75
0,0.28,0.26,0.23,0.25,0.25,1,4,6,15,6.5
0,0.23,0.38,0.33,0.27,0.30,14,2,5,5,6.5
0,0.37,0.35,0.40,0.19,0.33,2,1,5.5,18,6.625
