Match,NAB1,NAB2,NAB3,NAB4,MeanScore,NAB1-Rank,NAB2-Rank,NAB3-Rank,NAB4-Rank,MeanRank
1,0.999999,1.000000,0.999999,1.000000,1.00,8,2,5,2,4.25
1,0.999999,1.000000,0.999999,1.000000,1.00,6,4,6,2,4.5
0,0.999454,0.998098,0.999893,0.999951,1.00,5,5,4,5,4.75
0,0.999454,0.998098,0.999893,0.999951,1.00,13,3,4,7,6.75
0,0.999502,1.000000,0.990480,0.999772,1.00,8,2,11,14,8.75
0,0.999944,0.997661,0.979703,0.999969,0.99,4,7,20,6,9.25
0,0.967376,0.999938,0.999362,1.000000,0.99,16,6,15,1,9.5
0,0.999905,0.998278,0.986593,0.998055,1.00,5,13,18,2,9.5
0,0.982158,0.999804,0.999969,0.999996,1.00,23,9,3,4,9.75
0,0.999905,0.998278,0.986593,0.998055,1.00,10,13,16,1,10
0,0.999944,0.997661,0.979703,0.999969,0.99,3,6,18,13,10
0,0.999501,0.999821,0.999996,0.995503,1.00,1,18,4,18,10.25
0,0.982158,0.999804,0.999969,0.999996,1.00,26,10,2,5.5,10.875
0,0.991812,1.000000,0.999172,0.999994,1.00,10,2,14,17.5,10.875
0,0.999949,0.996722,0.999966,0.999383,1.00,19,12,2,11,11
0,0.967376,0.999938,0.999362,1.000000,0.99,4,2,38,2,11.5
0,1.000000,0.892858,0.999272,0.999998,0.97,1.5,35,5,5,11.625
0,0.999991,0.985588,0.981926,0.999999,0.99,15,11,18,3,11.75
0,0.982587,1.000000,0.998375,0.999994,1.00,22,1,12,12,11.75
0,0.996410,0.957936,0.999225,0.972952,0.98,6,19,3,20,12
